: 440667K->48960K(440896K), 0.0221270 secs] 8535886K->8210380K(12533952K), 0.0223580 secs] [Times: user=0.28 sys=0.01, real=0.02 secs] 
: 440853K->48960K(440896K), 0.0231270 secs] 8602273K->8276772K(12533952K), 0.0233650 secs] [Times: user=0.35 sys=0.00, real=0.03 secs] 
: 440690K->48960K(440896K), 0.0249860 secs] 8668502K->8341559K(12533952K), 0.0252200 secs] [Times: user=0.35 sys=0.00, real=0.02 secs] 
: 440878K->48960K(440896K), 0.0185520 secs] 8733478K->8404625K(12533952K), 0.0187430 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440846K->48960K(440896K), 0.0258040 secs] 8796512K->8474841K(12533952K), 0.0260310 secs] [Times: user=0.39 sys=0.01, real=0.03 secs] 
: 440826K->48960K(440896K), 0.0202770 secs] 8866707K->8535065K(12533952K), 0.0204850 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
2015-04-01T01:23:43.294-0700: 13173223.366: [GC [1 CMS-initial-mark: 8486105K(12093056K)] 8535325K(12533952K), 0.0045230 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2015-04-01T01:23:43.658-0700: 13173223.730: [CMS-concurrent-mark: 0.359/0.359 secs] [Times: user=2.20 sys=0.00, real=0.36 secs] 
2015-04-01T01:23:43.689-0700: 13173223.761: [CMS-concurrent-preclean: 0.031/0.031 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
 CMS: abort preclean due to time 2015-04-01T01:23:48.749-0700: 13173228.821: [CMS-concurrent-abortable-preclean: 2.555/5.060 secs] [Times: user=2.96 sys=0.15, real=5.05 secs] 
2015-04-01T01:23:48.750-0700: 13173228.822: [GC[YG occupancy: 189160 K (440896 K)]13173228.823: [Rescan (parallel) , 0.0058420 secs]13173228.828: [weak refs processing, 0.0031100 secs] [1 CMS-remark: 8486105K(12093056K)] 8675265K(12533952K), 0.0093720 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2015-04-01T01:23:49.508-0700: 13173229.580: [CMS-concurrent-sweep: 0.748/0.748 secs] [Times: user=0.81 sys=0.00, real=0.74 secs] 
2015-04-01T01:23:49.535-0700: 13173229.607: [CMS-concurrent-reset: 0.027/0.027 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
: 440722K->48960K(440896K), 0.0198950 secs] 4225455K->3901510K(12533952K), 0.0202210 secs] [Times: user=0.33 sys=0.00, real=0.02 secs] 
: 440752K->48901K(440896K), 0.0215010 secs] 4293303K->3965077K(12533952K), 0.0216960 secs] [Times: user=0.34 sys=0.01, real=0.02 secs] 
: 440795K->48929K(440896K), 0.0207930 secs] 4356970K->4031998K(12533952K), 0.0210000 secs] [Times: user=0.32 sys=0.00, real=0.02 secs] 
: 440662K->48960K(440896K), 0.0196960 secs] 4423732K->4093552K(12533952K), 0.0199000 secs] [Times: user=0.33 sys=0.00, real=0.02 secs] 
: 440891K->48960K(440896K), 0.0179730 secs] 4485483K->4157906K(12533952K), 0.0181200 secs] [Times: user=0.26 sys=0.01, real=0.02 secs] 
: 440873K->48908K(440896K), 0.0223240 secs] 4549820K->4223330K(12533952K), 0.0225260 secs] [Times: user=0.33 sys=0.00, real=0.03 secs] 
: 440844K->48960K(440896K), 0.0229780 secs] 4615266K->4288757K(12533952K), 0.0231780 secs] [Times: user=0.33 sys=0.00, real=0.03 secs] 
: 440804K->48960K(440896K), 0.0255400 secs] 4680602K->4353910K(12533952K), 0.0257250 secs] [Times: user=0.24 sys=0.01, real=0.02 secs] 
: 440711K->48960K(440896K), 0.0211280 secs] 4745661K->4415351K(12533952K), 0.0213300 secs] [Times: user=0.23 sys=0.01, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0323330 secs] 4807287K->4476631K(12533952K), 0.0324800 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
: 440896K->48929K(440896K), 0.0249650 secs] 4868567K->4545218K(12533952K), 0.0252110 secs] [Times: user=0.26 sys=0.01, real=0.03 secs] 
: 440865K->48960K(440896K), 0.0213750 secs] 4937154K->4608264K(12533952K), 0.0215750 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440727K->48960K(440896K), 0.0246070 secs] 5000032K->4673825K(12533952K), 0.0247590 secs] [Times: user=0.32 sys=0.00, real=0.03 secs] 
